Date,BOROUGH,daily_crashes,persons_injured,persons_killed,ped_injured,cyc_injured,motorist_injured,city_daily_volume,city_seg_count,vol_M,boro_daily_volume,boro_seg_count,temp_F,precip_mm,year,month,dow_num,day_of_week,is_weekend
2012-07-01,BRONX,39,11.0,0.0,1,2,8,44390.0,4,0.04439,,,81.6,1.7,2012,7,6,Sunday,1
2012-07-01,BROOKLYN,135,47.0,0.0,11,4,32,44390.0,4,0.04439,30576.0,2.0,81.6,1.7,2012,7,6,Sunday,1
2012-07-01,MANHATTAN,119,36.0,0.0,15,3,18,44390.0,4,0.04439,,,81.6,1.7,2012,7,6,Sunday,1
2012-07-01,QUEENS,101,26.0,0.0,3,0,23,44390.0,4,0.04439,13814.0,2.0,81.6,1.7,2012,7,6,Sunday,1
2012-07-01,STATEN ISLAND,26,8.0,0.0,0,0,8,44390.0,4,0.04439,,,81.6,1.7,2012,7,6,Sunday,1
2012-07-02,BRONX,71,17.0,0.0,5,1,11,55663.0,4,0.055663,,,78.5,0.0,2012,7,0,Monday,0
2012-07-02,BROOKLYN,140,54.0,1.0,12,7,35,55663.0,4,0.055663,30679.0,2.0,78.5,0.0,2012,7,0,Monday,0
2012-07-02,MANHATTAN,113,19.0,0.0,5,9,5,55663.0,4,0.055663,,,78.5,0.0,2012,7,0,Monday,0
2012-07-02,QUEENS,94,35.0,0.0,3,6,26,55663.0,4,0.055663,24984.0,2.0,78.5,0.0,2012,7,0,Monday,0
2012-07-02,STATEN ISLAND,25,6.0,0.0,0,0,6,55663.0,4,0.055663,,,78.5,0.0,2012,7,0,Monday,0
2012-07-03,BRONX,73,31.0,0.0,4,2,25,64154.0,4,0.064154,,,78.7,0.0,2012,7,1,Tuesday,0
2012-07-03,BROOKLYN,167,63.0,0.0,12,7,44,64154.0,4,0.064154,32216.0,2.0,78.7,0.0,2012,7,1,Tuesday,0
2012-07-03,MANHATTAN,150,25.0,0.0,7,1,17,64154.0,4,0.064154,,,78.7,0.0,2012,7,1,Tuesday,0
