Date,daily_crashes,persons_injured,persons_killed,ped_injured,cyc_injured,motorist_injured,city_daily_volume,city_seg_count,vol_M,temp_F,precip_mm,year,month,dow_num,day_of_week,is_weekend,injury_rate,total_inj_by_type
2012-07-01,538,166.0,0.0,30,9,127,44390.0,4,0.04439,81.6,1.7,2012,7,6,Sunday,1,0.30855018587360594,166
2012-07-02,564,175.0,1.0,30,27,118,55663.0,4,0.055663,78.5,0.0,2012,7,0,Monday,0,0.3102836879432624,175
2012-07-03,664,210.0,1.0,36,16,158,64154.0,4,0.064154,78.7,0.0,2012,7,1,Tuesday,0,0.31626506024096385,210
2012-07-04,432,156.0,0.0,20,9,127,31044.0,7,0.031044,80.4,3.9,2012,7,2,Wednesday,0,0.3611111111111111,156
2012-07-05,591,138.0,1.0,28,14,96,31687.0,4,0.031687,84.2,0.0,2012,7,3,Thursday,0,0.233502538071066,138
2012-07-06,638,179.0,0.0,34,14,131,16330.0,5,0.01633,80.4,0.0,2012,7,4,Friday,0,0.28056426332288403,179
2012-07-07,490,165.0,0.0,27,13,125,12480.0,4,0.01248,86.4,1.6,2012,7,5,Saturday,1,0.336734693877551,165
2012-07-08,464,137.0,1.0,16,11,110,12133.0,4,0.012133,80.9,0.0,2012,7,6,Sunday,1,0.2952586206896552,137
2012-07-09,533,150.0,0.0,24,17,109,19658.0,4,0.019658,78.4,0.0,2012,7,0,Monday,0,0.28142589118198874,150
2012-07-10,524,149.0,1.0,42,13,94,22695.0,4,0.022695,76.1,0.0,2012,7,1,Tuesday,0,0.28435114503816794,149
2012-07-11,565,164.0,0.0,26,23,115,22996.0,4,0.022996,75.2,0.0,2012,7,2,Wednesday,0,0.2902654867256637,164
2012-07-12,577,155.0,1.0,32,16,107,21282.0,4,0.021282,76.8,0.0,2012,7,3,Thursday,0,0.268630849220104,155
2012-07-13,603,163.0,1.0,28,18,117,20469.0,4,0.020469,78.9,0.0,2012,7,4,Friday,0,0.2703150912106136,163
2012-07-14,536,175.0,2.0,31,7,137,19088.0,4,0.019088,79.5,0.0,2012,7,5,Saturday,1,0.32649253731343286,175
2012-07-15,494,150.0,0.0,15,6,129,17214.0,4,0.017214,78.9,5.7,2012,7,6,Sunday,1,0.30364372469635625,150
2012-07-16,528,158.0,2.0,23,16,119,27927.0,8,0.027927,81.7,0.5,2012,7,0,Monday,0,0.29924242424242425,158
2012-07-17,648,183.0,0.0,33,20,130,12965.0,10,0.012965,84.9,0.0,2012,7,1,Tuesday,0,0.2824074074074074,183
2012-07-18,559,116.0,1.0,25,16,75,10142.0,4,0.010142,87.7,1.8,2012,7,2,Wednesday,0,0.2075134168157424,116
2012-07-19,522,145.0,0.0,34,10,101,6958.0,4,0.006958,75.8,2.5,2012,7,3,Thursday,0,0.2777777777777778,145
2012-07-20,604,175.0,0.0,23,8,144,5649.0,4,0.005649,67.5,38.7,2012,7,4,Friday,0,0.2897350993377483,175
2012-07-21,528,176.0,1.0,25,17,134,8372.0,5,0.008372,68.9,0.0,2012,7,5,Saturday,1,0.3333333333333333,176
2012-07-22,498,178.0,6.0,25,17,136,7882.0,4,0.007882,72.2,0.0,2012,7,6,Sunday,1,0.357429718875502,178
2012-07-23,505,141.0,0.0,24,9,108,13513.0,5,0.013513,77.1,0.3,2012,7,0,Monday,0,0.27920792079207923,141
2012-07-24,574,111.0,0.0,23,12,76,15226.0,6,0.015226,81.1,0.0,2012,7,1,Tuesday,0,0.19337979094076654,111
2012-07-25,612,172.0,0.0,31,18,123,14929.0,4,0.014929,75.8,0.0,2012,7,2,Wednesday,0,0.28104575163398693,172
2012-07-26,604,161.0,0.0,33,21,107,14893.0,4,0.014893,78.9,7.5,2012,7,3,Thursday,0,0.26655629139072845,161
2012-07-27,638,165.0,0.0,30,14,121,11675.0,5,0.011675,80.0,4.8,2012,7,4,Friday,0,0.25862068965517243,165
2012-07-28,513,175.0,1.0,23,16,136,9676.0,3,0.009676,75.4,22.9,2012,7,5,Saturday,1,0.341130604288499,175
2012-07-29,376,104.0,0.0,13,9,82,8419.0,3,0.008419,72.3,7.8,2012,7,6,Sunday,1,0.2765957446808511,104
2012-07-30,530,140.0,2.0,34,16,90,12628.0,7,0.012628,72.1,0.8,2012,7,0,Monday,0,0.2641509433962264,140
2012-07-31,540,123.0,0.0,37,18,68,13080.0,4,0.01308,71.7,0.0,2012,7,1,Tuesday,0,0.22777777777777777,123
2012-08-01,616,150.0,0.0,16,12,122,13295.0,4,0.013295,73.0,10.3,2012,8,2,Wednesday,0,0.2435064935064935,150
2012-08-02,570,156.0,1.0,31,17,108,12798.0,4,0.012798,76.7,0.0,2012,8,3,Thursday,0,0.2736842105263158,156
2012-08-03,589,145.0,1.0,26,16,103,16201.0,7,0.016201,79.6,0.0,2012,8,4,Friday,0,0.2461799660441426,145
2012-08-04,568,146.0,1.0,29,11,106,18779.0,4,0.018779,80.1,0.0,2012,8,5,Saturday,1,0.25704225352112675,146
2012-08-05,518,173.0,0.0,24,8,141,17182.0,4,0.017182,81.7,4.6,2012,8,6,Sunday,1,0.333976833976834,173
2012-08-06,593,150.0,1.0,25,25,100,19793.0,6,0.019793,78.6,3.6,2012,8,0,Monday,0,0.25295109612141653,150
2012-08-07,547,143.0,0.0,37,13,93,18544.0,4,0.018544,74.8,0.0,2012,8,1,Tuesday,0,0.26142595978062155,143
2012-08-08,528,133.0,1.0,34,16,83,18304.0,4,0.018304,77.7,0.0,2012,8,2,Wednesday,0,0.2518939393939394,133
2012-08-09,581,163.0,2.0,32,16,115,19004.0,4,0.019004,78.4,0.7,2012,8,3,Thursday,0,0.28055077452667815,163
2012-08-10,617,165.0,1.0,33,15,117,18649.0,4,0.018649,76.5,8.0,2012,8,4,Friday,0,0.26742301458670986,165
2012-08-11,507,155.0,2.0,19,17,119,18847.0,4,0.018847,76.8,6.4,2012,8,5,Saturday,1,0.3057199211045365,155
2012-08-12,505,150.0,0.0,23,15,112,13884.0,5,0.013884,76.6,3.6,2012,8,6,Sunday,1,0.297029702970297,150
2012-08-13,504,142.0,0.0,28,14,100,11403.0,4,0.011403,75.4,0.0,2012,8,0,Monday,0,0.28174603174603174,142
2012-08-14,520,142.0,1.0,29,13,100,13135.0,4,0.013135,74.1,6.3,2012,8,1,Tuesday,0,0.27307692307692305,142
2012-08-15,602,151.0,0.0,29,14,108,10847.0,4,0.010847,73.7,20.6,2012,8,2,Wednesday,0,0.25083056478405313,151
2012-08-16,613,154.0,0.0,29,23,102,11147.0,4,0.011147,74.5,0.6,2012,8,3,Thursday,0,0.25122349102773245,154
2012-08-17,574,165.0,0.0,32,20,113,11234.0,4,0.011234,75.6,1.8,2012,8,4,Friday,0,0.2874564459930314,165
2012-08-18,540,149.0,0.0,28,14,107,10323.0,4,0.010323,71.5,11.3,2012,8,5,Saturday,1,0.2759259259259259,149
2012-08-19,467,146.0,0.0,31,10,105,9023.0,4,0.009023,68.9,0.0,2012,8,6,Sunday,1,0.31263383297644537,146
2012-08-20,473,141.0,1.0,24,16,101,10420.0,4,0.01042,71.5,0.0,2012,8,0,Monday,0,0.29809725158562367,141
2012-08-21,482,129.0,2.0,24,13,92,10728.0,4,0.010728,72.2,0.0,2012,8,1,Tuesday,0,0.2676348547717842,129
2012-08-22,504,145.0,2.0,28,22,95,10615.0,4,0.010615,73.1,0.1,2012,8,2,Wednesday,0,0.2876984126984127,145
2012-08-23,574,177.0,2.0,31,18,128,10573.0,4,0.010573,73.7,0.0,2012,8,3,Thursday,0,0.3083623693379791,177
2012-08-24,601,150.0,2.0,19,21,110,10162.0,4,0.010162,74.5,0.0,2012,8,4,Friday,0,0.24958402662229617,150
2012-08-25,474,146.0,0.0,21,17,108,9345.0,4,0.009345,74.2,0.4,2012,8,5,Saturday,1,0.3080168776371308,146
